0	,0	,0	,Andrew,1356.10306
0	,0	,1	,Kevin,1375.79162
0	,0	,2	,Ashley,1626.00058
0	,1	,0	,Thomas,1997.85227
0	,1	,1	,James,1527.76325
0	,1	,2	,Paula,1985.59547
0	,2	,0	,Anne,1981.78594
0	,2	,1	,Roy,1996.59027
0	,2	,2	,Irene,1760.69654
1	,0	,0	,Stephanie,745.42596
1	,0	,1	,Douglas,1026.07475
1	,0	,2	,Doris,1008.43379
1	,1	,0	,Evelyn,429.62616
1	,1	,1	,Douglas,756.16506
1	,1	,2	,Katherine,312.69764
1	,2	,0	,Linda,471.94682
1	,2	,1	,Steven,447.08353
1	,2	,2	,Carol,761.75101
2	,0	,0	,Brenda,1024.33446
2	,0	,1	,Lori,1232.19069
2	,0	,2	,Theresa,1443.2877
2	,1	,0	,Harold,1743.58156
2	,1	,1	,Cynthia,1996.04895
2	,1	,2	,Melissa,1676.56816
2	,2	,0	,Arthur,687.44458
2	,2	,1	,Roy,816.74338
2	,2	,2	,Joseph,343.96899
